Date,Open,High,Low,Close,Adj Close,Volume
2010-01-25,122.099998,131.850006,118.120003,125.410004,125.410004,93112600
2010-02-01,123.180000,124.860001,113.820000,117.389999,117.389999,97068800
2010-02-08,119.379997,121.000000,116.000000,119.660004,119.660004,41763400
2010-02-15,120.059998,120.500000,114.820000,117.519997,117.519997,34793200
2010-02-22,117.370003,119.800003,115.849998,118.400002,118.400002,36520400
2010-03-01,118.699997,129.449997,117.529999,128.910004,128.910004,46113400
2010-03-08,128.300003,134.199997,127.709999,131.820007,131.820007,30694000
2010-03-15,131.699997,133.710007,128.630005,130.350006,130.350006,28746800
2010-03-22,130.199997,136.990005,127.199997,135.059998,135.059998,37068200
2010-03-29,135.369995,138.190002,131.179993,131.809998,131.809998,24206000
2010-04-05,132.850006,141.330002,130.779999,140.059998,140.059998,38412400
2010-04-12,140.000000,147.169998,139.119995,142.169998,142.169998,34357500
2010-04-19,142.350006,151.089996,139.130005,143.630005,143.630005,51849100
2010-04-26,143.199997,147.729996,136.910004,137.100006,137.100006,39620300
2010-05-03,137.199997,139.440002,120.599998,124.980003,124.980003,49897100
2010-05-10,129.729996,136.990005,126.760002,128.529999,128.529999,29972700
2010-05-17,128.240005,131.250000,117.519997,122.720001,122.720001,33923700
2010-05-24,122.570000,127.599998,118.500000,125.459999,125.459999,27116400
2010-05-31,124.970001,129.149994,121.650002,122.769997,122.769997,19198800
2010-06-07,125.839996,126.610001,115.800003,123.029999,123.029999,35686400
2010-06-14,124.239998,127.980003,122.500000,125.830002,125.830002,19743300
2010-06-21,126.790001,127.480003,116.800003,121.000000,121.000000,30530800
2010-06-28,118.849998,120.040001,106.010002,109.139999,109.139999,41226100
2010-07-05,110.650002,117.480003,109.000000,117.260002,117.260002,21000400
2010-07-12,117.809998,124.879997,117.320000,118.489998,118.489998,29407300
2010-07-19,118.379997,121.250000,105.800003,118.870003,118.870003,74252100
2010-07-26,118.260002,118.870003,114.510002,117.889999,117.889999,37659500
2010-08-02,119.150002,128.470001,117.570000,128.320007,128.320007,30015800
2010-08-09,128.460007,130.000000,123.550003,124.690002,124.690002,24678900
2010-08-16,123.610001,130.809998,123.040001,127.760002,127.760002,26723500
2010-08-23,127.860001,129.220001,122.250000,126.639999,126.639999,24350000
2010-08-30,126.029999,139.500000,122.500000,138.789993,138.789993,26778500
2010-09-06,137.559998,142.600006,136.449997,142.440002,142.440002,19713100
2010-09-13,144.070007,148.979996,143.559998,148.320007,148.320007,27387000
2010-09-20,148.699997,160.889999,147.350006,160.729996,160.729996,38260000
2010-09-27,160.220001,161.779999,152.199997,153.710007,153.710007,38517400
2010-10-04,153.949997,161.210007,152.779999,155.550003,155.550003,28567700
2010-10-11,154.889999,164.880005,151.399994,164.639999,164.639999,29559600
2010-10-18,165.000000,170.169998,156.570007,169.130005,169.130005,49447600
2010-10-25,171.570007,171.990005,164.809998,165.229996,165.229996,26625200
2010-11-01,164.449997,172.529999,161.520004,170.770004,170.770004,28220100
2010-11-08,170.839996,173.369995,165.050003,165.679993,165.679993,27977200
2010-11-15,165.160004,165.350006,156.770004,164.820007,164.820007,31435000
2010-11-22,165.100006,178.380005,164.619995,177.199997,177.199997,26921900
2010-11-29,179.990005,181.839996,173.919998,175.679993,175.679993,32672400
2010-12-06,175.520004,181.470001,173.360001,175.619995,175.619995,22579200
2010-12-13,176.330002,179.000000,173.089996,177.580002,177.580002,22327100
2010-12-20,179.270004,185.649994,178.039993,182.589996,182.589996,19782600
2010-12-27,181.899994,184.550003,179.509995,180.000000,180.000000,12757600
2011-01-03,181.369995,188.449997,181.210007,185.490005,185.490005,22183400
2011-01-10,185.039993,188.940002,182.509995,188.750000,188.750000,15899000
2011-01-17,188.660004,191.600006,176.839996,177.419998,177.419998,20294700
2011-01-24,177.949997,185.000000,166.899994,171.139999,171.139999,48516100
2011-01-31,170.160004,177.190002,167.410004,175.929993,175.929993,24378200
2011-02-07,176.149994,189.500000,174.770004,189.250000,189.250000,31181600
2011-02-14,189.250000,191.399994,185.130005,186.500000,186.500000,20184500
2011-02-21,183.679993,184.720001,174.389999,177.240005,177.240005,19967000
2011-02-28,173.910004,175.889999,168.350006,171.669998,171.669998,26878500
2011-03-07,171.919998,172.089996,163.899994,168.070007,168.070007,27869100
2011-03-14,166.600006,168.139999,160.589996,161.820007,161.820007,28078700
2011-03-21,163.369995,173.490005,160.820007,170.979996,170.979996,22964800
2011-03-28,171.800003,183.250000,169.250000,180.130005,180.130005,25655300
2011-04-04,180.889999,188.270004,180.690002,184.710007,184.710007,23476700
2011-04-11,184.860001,186.490005,179.020004,180.009995,180.009995,20708500
2011-04-18,178.380005,185.970001,175.369995,185.889999,185.889999,14678100
2011-04-25,185.649994,197.800003,180.740005,195.809998,195.809998,52202000
2011-05-02,196.570007,203.419998,195.369995,197.600006,197.600006,30662000
2011-05-09,198.339996,206.389999,196.779999,202.559998,202.559998,25444000
2011-05-16,200.539993,200.899994,191.369995,198.649994,198.649994,28497700
2011-05-23,195.559998,197.289993,190.880005,194.130005,194.130005,18261800
2011-05-30,195.940002,198.440002,187.619995,188.320007,188.320007,14873600
2011-06-06,188.009995,191.759995,185.179993,186.529999,186.529999,20246800
2011-06-13,186.809998,192.449997,181.589996,186.369995,186.369995,26501200
2011-06-20,185.960007,195.199997,185.570007,192.550003,192.550003,18368100
2011-06-27,194.500000,210.270004,194.029999,209.490005,209.490005,22991700
2011-07-04,208.759995,218.320007,208.729996,218.279999,218.279999,13045600
2011-07-11,216.740005,217.500000,209.289993,212.869995,212.869995,20224400
2011-07-18,212.529999,220.199997,208.289993,216.520004,216.520004,18845200
2011-07-25,215.490005,227.199997,210.350006,222.520004,222.520004,36684600
2011-08-01,225.000000,227.449997,194.839996,202.699997,202.699997,37176600
2011-08-08,196.399994,205.089996,190.050003,202.300003,202.300003,42698600
2011-08-15,202.059998,205.279999,177.550003,178.929993,178.929993,29502300
2011-08-22,182.830002,199.720001,177.100006,199.270004,199.270004,27985500
2011-08-29,202.820007,217.639999,202.550003,210.000000,210.000000,27339000
2011-09-05,204.770004,220.639999,204.470001,211.389999,211.389999,20484200
2011-09-12,208.750000,240.440002,208.649994,239.300003,239.300003,33421500
2011-09-19,237.110001,244.000000,219.000000,223.610001,223.610001,36213000
2011-09-26,227.479996,235.809998,215.210007,216.229996,216.229996,43997300
2011-10-03,217.009995,227.899994,200.429993,224.740005,224.740005,35477800
2011-10-10,226.229996,246.710007,224.100006,246.710007,246.710007,27414800
2011-10-17,244.289993,246.710007,229.250000,234.779999,234.779999,25201200
2011-10-24,236.020004,240.470001,196.509995,217.320007,217.320007,63777300
2011-10-31,215.789993,218.889999,207.429993,216.479996,216.479996,31357900
